cation	cation_valence	anion	anion_valence	Nc	R0	Rcutoff	D0	Rmin	alpha
Li	1	O	-2	5.021	1.17096	6	0.98816	1.940013	1.937984
A	1	O	-2	5.021	1.17096	6	0.98816	1.940013	1.937984
Be	2	O	-2	4	1.20903	5.5	2.768816	1.522169	1.848429
B	3	O	-2	3.417	1.35761	4.5	2.389237	1.340034	2.597403
C	4	O	-2	3	1.39826	5	4.791867	1.200889	2.237136
N	5	O	-2	3	1.46267	5	6.276775	1.161424	2.222222
Na	1	O	-2	6.52	1.56225	6	0.575227	2.374335	2.074689
Mg	2	O	-2	5.897	1.48398	5.5	1.575539	1.956265	1.953125
Al	3	O	-2	5.327	1.59901	5	1.803461	1.758058	2.358491
Si	4	O	-2	4.1	1.60817	5	2.857198	1.535939	2.314815
P	5	O	-2	4	1.62038	5	3.896352	1.44066	2.28833
S	6	O	-2	4	1.6422	5	4.96726	1.381015	2.267574
Cl	7	O	-2	4	1.67946	5	5.991005	1.348009	2.257336
K	1	O	-2	8.846	1.94117	6	0.34985	2.766359	2.293578
Ca	2	O	-2	7.544	1.79519	5.5	0.994291	2.32032	2.10084
Ga	3	O	-2	4.905	1.71606	5	1.184556	1.79391	2.680965
Ge	4	O	-2	4.305	1.73939	5	1.913747	1.66872	2.525253
As	5	O	-2	4.029	1.76689	5	2.719344	1.581273	2.43309
Se	6	O	-2	4	1.79866	5.5	3.448655	1.532871	2.403846
Br	7	O	-2	4	1.83658	5.5	4.243387	1.502739	2.364066
Rb	1	O	-2	10.02	2.08597	6.5	0.268127	2.896827	2.421308
Sr	2	O	-2	9.4	1.95311	5.5	0.743506	2.535891	2.197802
In	3	O	-2	6.024	1.90305	5	0.840758	2.024707	2.832861
Sn	4	O	-2	6.069	1.89019	5	1.352679	1.934221	2.638522
Sb	5	O	-2	6	1.89768	5.5	1.955227	1.863182	2.5
Te	6	O	-2	6	1.91343	5.5	2.564057	1.808758	2.427184
I	7	O	-2	5.8	1.92274	5.5	3.214242	1.741045	2.386635
Cs	1	O	-2	11.79	2.25899	6.5	0.233071	3.131213	2.386635
Ba	2	O	-2	10.32	2.15998	6	0.579936	2.737692	2.28833
Tl	3	O	-2	5.22	2.06297	5	0.676365	2.106422	2.95858
Pb	4	O	-2	5.74	2.03293	5	1.027186	2.028568	2.824859
Bi	5	O	-2	6	2.04498	5	1.4405	1.985987	2.695418
C	2	O	-2	1	1.41368	5	2.405528	1.030976	2.409639
N	3	O	-2	2	1.40795	5	3.81089	1.137584	2.232143
P	3	O	-2	3	1.51555	4.5	2.020615	1.410511	2.487562
S	4	O	-2	3	1.64282	5.5	3.036723	1.411879	2.34192
As	3	O	-2	3	1.76706	5	1.514929	1.645543	2.475248
Se	4	O	-2	3	1.80095	5.5	2.380823	1.559575	2.34192
Sn	2	O	-2	3.325	1.87499	5.5	0.972609	1.964197	2.183406
Sb	3	O	-2	6	1.92036	5	1.177857	2.075258	2.364066
Te	4	O	-2	3.396	1.9529	5.5	1.671694	1.752082	2.493766
I	5	O	-2	3.1	1.97775	6	2.489472	1.644209	2.358491
Tl	1	O	-2	8.03	1.91752	6	0.349987	2.77086	2.070393
Pb	2	O	-2	7.541	2.01825	5.5	0.638333	2.441914	2.309469
Bi	3	O	-2	6.058	2.03677	5.5	0.979037	2.183207	2.415459
Te	2	O	-2	2	1.39168	6.5	2.626094	1.298928	1.633987
Sc	3	O	-2	6.255	1.7322	5.5	2.156103	1.996147	2.024291
Ti	4	O	-2	6	1.72394	5.5	2.813331	1.83144	1.988072
V	5	O	-2	4.166	1.79445	5.5	3.695335	1.602577	1.960784
Cr	6	O	-2	4	1.82471	5.5	3.687511	1.532511	2.10084
Mn	7	O	-2	4	1.87362	6.5	4.916305	1.481714	1.923077
Fe	3	O	-2	5.733	1.7084	5	1.66681	1.866468	2.380952
Co	3	O	-2	6	1.59234	5.5	1.870235	1.776198	2.304147
Ni	2	O	-2	5.933	1.5592	5.5	1.468407	1.924524	2.257336
Cu	2	O	-2	2.56	1.57422	5	1.853408	1.566333	2.227171
Zn	2	O	-2	4.718	1.65344	5	1.24031	1.885568	2.48139
Y	3	O	-2	7.285	1.90384	5.5	1.627011	2.215228	2.09205
Zr	4	O	-2	6.765	1.84505	5.5	2.191032	1.996025	2.040816
Nb	5	O	-2	6.044	1.86588	5.5	2.723261	1.854586	2.008032
Mo	6	O	-2	4.764	1.90934	5	1.991498	1.712544	2.557545
Tc	7	O	-2	4	1.97036	6	4.041444	1.575183	1.945525
Ru	6	O	-2	4.5	1.92579	5.5	2.421093	1.664311	2.352941
Rh	4	O	-2	6	1.77675	5.5	1.627252	1.817932	2.48139
Pd	2	O	-2	4	1.62359	5.5	1.739103	1.836711	2.008032
Ag	1	O	-2	4.438	1.78239	5	0.635187	2.225785	2.538071
Cd	2	O	-2	6.176	1.83926	5.5	0.983461	2.169398	2.457002
Lu	3	O	-2	6.83	1.91728	5.5	1.194883	2.136	2.375297
Hf	4	O	-2	7.105	1.83361	6	1.89992	1.999643	2.09205
Ta	5	O	-2	6.09	1.86816	5.5	2.366685	1.85532	2.057613
W	6	O	-2	5.688	1.90641	5	1.842666	1.777132	2.493766
Re	7	O	-2	4.098	1.97792	6	3.555929	1.596339	1.968504
Os	8	O	-2	5.333	1.97728	6	3.710191	1.661463	1.953125
Ir	5	O	-2	6	1.89791	6	2.324762	1.83476	2.087683
Pt	2	O	-2	4	1.51205	5.5	2.149986	1.801793	1.74216
Au	3	O	-2	4	1.81761	5.5	1.969672	1.813123	2.008032
Hg	2	O	-2	6.966	1.81276	5.5	1.128521	2.252751	2.150538
La	3	O	-2	9.83	2.06392	5.5	1.185874	2.469886	2.217295
Ce	4	O	-2	7.867	2.02821	5.5	1.484118	2.198725	2.257336
Pr	3	O	-2	9.067	2.03652	5.5	1.170407	2.371126	2.277904
Nd	3	O	-2	8.647	2.02425	5.5	1.132045	2.330162	2.336449
Ti	3	O	-2	6	1.69766	5.5	1.978506	1.886194	2.173913
V	4	O	-2	5.738	1.74932	5	2.080473	1.776375	2.347418
Cr	4	O	-2	5.429	1.76095	5.5	1.933285	1.76209	2.444988
Mn	6	O	-2	4	1.82018	5.5	2.822364	1.529314	2.403846
Fe	2	O	-2	5.743	1.57911	5.5	1.692689	1.960053	2.083333
Co	4	O	-2	4	1.79444	5.5	2.358037	1.679593	2.267574
Ni	4	O	-2	6	1.72159	5	1.864513	1.765079	2.487562
Cu	3	O	-2	4	1.70964	5	1.882423	1.708232	2.34192
Nb	4	O	-2	6	1.78543	6	2.709602	1.859895	1.901141
Mo	5	O	-2	5.98	1.8476	5.5	2.648016	1.786697	2.074689
Ru	5	O	-2	6	1.87442	5.5	2.132078	1.815714	2.293578
Rh	3	O	-2	6	1.67013	5.5	1.928259	1.869147	2.09205
Pd	4	O	-2	5.333	1.805	5.5	2.042177	1.798133	2.227171
Ag	3	O	-2	6.25	1.84687	5.5	1.52826	2.0348	2.252252
Ta	4	O	-2	5.5	1.75632	6	2.756548	1.798256	1.831502
W	5	O	-2	6	1.81975	6	2.615701	1.762615	2.008032
Re	6	O	-2	5.5	1.91007	6	2.950986	1.711469	2.008032
Os	7	O	-2	6	1.95775	5.5	2.919483	1.728686	2.087683
Ir	4	O	-2	6	1.83233	5.5	1.686674	1.874017	2.293578
Hg	1	O	-2	4.786	1.8128	5.5	0.739306	2.431553	2.150538
V	3	O	-2	6	1.67799	5.5	1.82936	1.857967	2.277904
Cr	3	O	-2	6	1.66198	5.5	1.773346	1.838872	2.325581
Mn	5	O	-2	4	1.78879	5.5	2.464555	1.575774	2.421308
Fe	4	O	-2	6	1.76559	5.5	1.872848	1.827859	2.439024
Co	2	O	-2	5.506	1.59773	5.5	1.514761	1.933621	2.217295
Ni	3	O	-2	6	1.64888	5.5	1.661905	1.818873	2.415459
Cu	1	O	-2	2.56	1.5873	5	0.664171	1.782692	2.932551
Nb	3	O	-2	6	1.74581	6	2.028483	1.951898	1.996008
Mo	4	O	-2	6	1.7239	6.5	3.108069	1.850992	1.779359
Ru	4	O	-2	6	1.79363	5.5	1.995133	1.840532	2.227171
Ag	2	O	-2	5	1.72209	5.5	1.583396	2.041706	1.996008
W	4	O	-2	6	1.74558	6	2.471141	1.819454	1.923077
Re	5	O	-2	6	1.82664	6	2.41099	1.769141	2.087683
Os	6	O	-2	6	1.93192	5.5	2.448709	1.782799	2.159827
Pt	4	O	-2	6	1.82198	5.5	2.038254	1.871736	2.087683
Au	1	O	-2	2	1.71819	5.5	0.853044	1.895429	2.267574
V	2	O	-2	6	1.59976	5.5	1.640237	1.997526	2.096436
Cr	2	O	-2	5.6	1.59356	5.5	1.691613	1.961299	2.083333
Mn	4	O	-2	5.923	1.73272	5	1.858861	1.770446	2.487562
Co	1	O	-2	2	1.29501	5.5	2.393481	1.640592	1.610306
Mo	3	O	-2	5.7	1.78933	5.5	1.428262	1.929735	2.392344
Ru	3	O	-2	6	1.72066	5.5	1.540613	1.8932	2.325581
Re	4	O	-2	6	1.78237	6	2.316639	1.844971	1.972387
Pt	3	O	-2	5	1.66559	5.5	2.359527	1.819377	1.831502
Cr	5	O	-2	4	1.76781	5.5	2.365511	1.555463	2.487562
Mn	3	O	-2	5.862	1.68993	5.5	1.812832	1.857862	2.28833
Os	4	O	-2	6	1.75302	6	2.27524	1.812439	2.008032
Mn	2	O	-2	5.91	1.62758	5.5	1.641434	2.029688	2.079002
Ce	3	O	-2	9.147	2.03118	5.5	1.220483	2.37861	2.227171
Sm	3	O	-2	8.119	2.01168	5.5	1.176217	2.295359	2.309469
Eu	3	O	-2	7.743	2.00469	5.5	1.195447	2.268881	2.304147
Gd	3	O	-2	8.052	1.99654	5.5	1.091613	2.271904	2.409639
Tb	3	O	-2	7.958	1.95675	5.5	1.20764	2.235634	2.309469
Dy	3	O	-2	7.828	1.96029	5.5	1.173498	2.226892	2.347418
Ho	3	O	-2	7.5	1.97099	5.5	1.121573	2.211215	2.409639
Er	3	O	-2	7.135	1.95608	5.5	1.123941	2.174771	2.427184
Tm	3	O	-2	6.912	1.94901	5.5	1.181379	2.160417	2.375297
Yb	3	O	-2	6.875	1.92872	5.5	1.219894	2.142197	2.347418
Yb	2	O	-2	8	1.63254	5.5	1.384137	2.209419	1.960784
Eu	2	O	-2	10.111	1.89158	6	1.130318	2.538459	2.024291
Tb	4	O	-2	6	1.96244	6	1.701319	2.385063	2.024291
Th	4	O	-2	8.941	2.04983	6	1.573737	2.310462	2.057613
U	6	O	-2	6.987	2.02317	6	2.627524	1.992868	1.897533
Cl	5	O	-2	3	1.69552	5.5	4.290893	1.356529	2.247191
Cl	3	O	-2	2	1.72265	5.5	3.071187	1.384411	2.03666
Li	1	S	-2	4.604	1.46652	6	1.04027  	2.40971 	1.531394
A	1	S	-2	4.604	1.46652	6	1.04027  	2.40971 	1.531394
#Be	2	S	-2	4	1.5784	6.5	5.102614	1.056091	-1.477105
B	3	S	-2	3.417	1.78195	6	3.21881	1.798962	1.745201
