Structure,σ(RT)(S cm-1),Ea (eV),space group,ICSD Entry
LiAlSi3O8,1.30E-10,,2,81980
LiSn2(PO4)3,2.04E-09,,2,83832
Li7BiO6,8.80E-07,0.58,2,155950
Li7SbO6,6.70E-08,0.7,2,413370
Li7P3S11,1.70E-02,0.17,2,157654
Li7P3S11,3.20E-03,0.124,2,157654
LiV(PO4)F,8.10E-07,0.23,2,183876
Li2B3PO8,5.80E-15,0.76,2,248343
Li3BP2O8,9.60E-12,0.62,2,248343
Li2NaBP2O8,4.40E-18,1.21,2,291512
Li4P2O7,<1E-10,1.617,2,248414
LiMgSO4F,5.40E-08,0.54,2,281119
Li6CuB4O10,1.00E-13,0.92,2,4819
Li0.91Hf2.022(PO4)3,<1E-10,0.47,2,
Li7P3S11,8.60E-03,0.29,2,
Li2ZnGeO4,1.00E-07,0.4,7,34362
Li3.8Ge0.8P0.2S4,1.78E-06,0.47,11,
Li3.6Ge0.6P0.4S4,1.75E-04,0.34,11,
Li3.4Ge0.4P0.6S4,6.54E-04,0.28,11,
Li3.35Ge0.35P0.65S4,1.54E-03,0.23,11,
Li3.3Ge0.3P0.7S4,1.74E-03,0.22,11,
Li3.25Ge0.25P0.75S4,2.20E-03,0.207,11,
Li3.2Ge0.2P0.8S4,5.55E-04,0.27,11,
Li4SiS4,5.00E-08,0.56,11,59708
Li7.22Si1.5P0.5O8,1.64E-07,0.48,11,238602
Li4SiO4,5.00E-10,0.55,11,238603
Li4SiS4,1.59E-08,0.56,11,
Li3.8Si0.8P0.2S4,8.11E-07,0.37,11,
Li3.6Si0.6P0.4S4,7.19E-05,0.34,11,
Li3.5Si0.5P05S4,1.66E-04,0.34,11,
Li3.4Si0.4P0.6S4,6.62E-04,0.29,11,
Li3.3Si0.3P0.7S4,1.02E-05,0.36,11,
Li3.2Si0.2P0.8S4,3.20E-06,0.37,11,
Li4SiS4,1.62E-08,0.56,11,
Li3.8Si0.8P0.2S4,8.07E-07,0.37,11,
Li3.6Si0.6P0.4S4,7.11E-05,0.34,11,
Li3.5Si0.5P0.5S4,1.61E-04,0.34,11,
Li3.4Si0.4P0.6S4,6.49E-04,0.29,11,
Li3.3Si0.3P0.7S4,9.84E-06,0.36,11,
Li3.2Si0.2P0.8S4,3.05E-06,0.37,11,
Li3.1P0.9Si0.1O4,7.47E-08,,11,
Li3.5P0.5Si0.5O4,2.89E-06,,11,
Li3.9P0.1Si0.9O4,1.99E-08,,11,
Li3.7P0.3Si0.7O4,3.84E-07,,11,35168
Li3InCl6,2.04E-03,0.35,12,89617
Li2P2S6,7.80E-11,0.48,12,253894
Li0.6[Li0.2Sn0.8S2],1.2E−4,0.17,12,
Li3(Mo8S8O8(OH)8(HWO5(H2O)))*(H2O)18,3.80E-07,0.62,12,412011
Li17Sb13S28,1.05E-09,0.4,12,429902
Li3InBr6,9.04E-04,,12,
Li3YBr6,1.92E-03,0.37,12,
Li0.84Sn0.79S2,1.20E-04,0.17,12,
LiAlSi4O10,1.01E-10,,13,194284
LiPO3,1.00E-09,,13,51630
LiGaBr4,7.00E-06,0.54,14,61337
Li2SO4,1.40E-14,1.1,14,2512
Li3BO3,7.40E-11,0.63,14,9105
Li6Ge2O7,8.50E-07,0.43,14,31050
LiAlCl4,1.00E-06,0.47,14,35275
LiYO2,1.80E-08,0.72,14,45511
LiBO2,1.00E-08,0.71,14,200891
LiClC3H7NO,1.60E-04,0.881,14,238683
LaLiO2,<1E-10,0.92,14,239278
(La0.9Sr0.1)LiO2,6.29E-10,0.62,14,239279
La(Li0.76Mg0.08)O2,7.27E-10,0.66,14,239280
Li2.5V2(PO4)3,1.90E-07,,14,240269
